accuracy,f1_score_0,f1_score_1,avg_loss
0.5859154929577465,0.6037735849056604,0.5663716814159292,0.6650026256769476
0.5661971830985916,0.574585635359116,0.5574712643678161,2.2014881932189048
0.5887323943661972,0.546583850931677,0.6237113402061856,0.6804704415336461
0.5690140845070423,0.592,0.5432835820895522,0.6796770469823353
0.5408450704225352,0.49846153846153846,0.5766233766233766,1.9660461086731258
0.5943661971830986,0.6,0.5885714285714285,1.70655289191501
0.5492957746478874,0.5854922279792746,0.5061728395061729,1.403327556233689
0.5746478873239437,0.5698005698005698,0.5793871866295265,1.567297104407802
0.5690140845070423,0.5590778097982709,0.5785123966942148,1.8546999831466322
0.5802816901408451,0.6005361930294906,0.5578635014836796,1.7531702060652503
